,open,high,low,close,volume
2023-11-22,0.18,0.1995,0.18,0.1995,497.0
2023-11-24,0.1801,0.21,0.1719,0.18,48874.0
2023-11-27,0.189,0.2098,0.18,0.1801,49800.0
2023-11-28,0.18,0.18,0.18,0.18,51186.0
2023-11-29,0.18,0.18,0.18,0.18,0.0
2023-11-30,0.18,0.18,0.18,0.18,411118.0
2023-12-01,0.18,0.18,0.18,0.18,0.0
2023-12-04,0.18,0.18,0.1782,0.1782,1700.0
2023-12-05,0.1693,0.1693,0.1489,0.16,18620.0
2023-12-06,0.152,0.18,0.15,0.18,658100.0
2023-12-07,0.162,0.189,0.147,0.15,392996.0
2023-12-08,0.15,0.15,0.12,0.12,113303.0
2023-12-11,0.126,0.15,0.12,0.1497,717.0
2023-12-12,0.1497,0.1572,0.12,0.12,5540.0
2023-12-13,0.13,0.1498,0.12,0.12,66289.0
2023-12-14,0.123,0.186,0.123,0.15,1056680.0
2023-12-15,0.1251,0.1575,0.12,0.1575,3750.0
2023-12-18,0.1236,0.15,0.12,0.15,75283.0
2023-12-19,0.15,0.15,0.15,0.15,12.0
2023-12-20,0.15,0.15,0.15,0.15,90.0
2023-12-21,0.1603,0.25,0.156,0.19,4312.0
2023-12-22,0.1561,0.1561,0.1561,0.1561,100.0
2023-12-26,0.1561,0.1561,0.1561,0.1561,0.0
2023-12-27,0.16,0.16,0.1598,0.1598,7400.0
2023-12-28,0.1598,0.1598,0.1598,0.1598,0.0
2023-12-29,0.1601,0.1601,0.1521,0.1521,6000.0
